Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",53.800000,-11.600000,0.000000,top
"C2","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",53.600000,-9.800000,0.000000,top
"C3","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",53.600000,-8.000000,0.000000,top
"C4","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",49.800000,-11.600000,180.000000,top
"C5","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",50.000000,-9.800000,180.000000,top
"C6","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",50.000000,-8.000000,180.000000,top
"C7","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",64.200000,-11.600000,0.000000,top
"C8","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",63.937500,-9.800000,0.000000,top
"C9","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",63.900000,-8.000000,0.000000,top
"C10","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",60.200000,-11.600000,180.000000,top
"C11","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",60.400000,-9.800000,180.000000,top
"C12","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",60.400000,-8.000000,180.000000,top
"C13","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",70.400000,-11.600000,0.000000,top
"C14","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",70.600000,-9.800000,0.000000,top
"C15","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",70.600000,-8.000000,0.000000,top
"C16","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",74.400000,-11.600000,180.000000,top
"C17","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",74.200000,-9.800000,180.000000,top
"C18","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",74.200000,-8.000000,180.000000,top
"C19","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",34.799999,-15.487500,-90.000000,top
"C20","12pF","C_0402_1005Metric",19.291333,-17.033365,-45.000000,top
"C21","12pF","C_0402_1005Metric",22.194635,-13.952350,-45.000000,top
"C22","4.7uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",25.500000,-34.550000,-45.000000,top
"C23","100nF","C_0402_1005Metric",35.200000,-32.950000,180.000000,top
"C24","100nF","C_0402_1005Metric",60.625000,-18.987500,0.000000,top
"C25","100nF","C_0402_1005Metric",24.300000,-17.400000,45.000000,top
"C26","100nF","C_0402_1005Metric",31.250000,-21.050000,45.000000,top
"C28","100nF","C_0402_1005Metric",22.650000,-31.400000,-135.000000,top
"C30","100nF","C_0402_1005Metric",22.700000,-18.550000,135.000000,top
"C31","100nF","C_0402_1005Metric",25.350000,-32.500000,-45.000000,top
"C32","100nF","C_0402_1005Metric",21.000000,-29.150000,-135.000000,top
"C34","100nF","C_0402_1005Metric",22.000000,-19.250000,135.000000,top
"C35","100nF","C_0402_1005Metric",29.850000,-19.650000,45.000000,top
"C36","100nF","C_0402_1005Metric",28.200000,-17.600000,45.000000,top
"C37","100nF","C_0402_1005Metric",21.300000,-19.950000,135.000000,top
"C38","100nF","C_0402_1005Metric",31.000000,-28.450000,-45.000000,top
"C39","100nF","C_0402_1005Metric",22.300000,-30.350000,-135.000000,top
"C40","100nF","C_0402_1005Metric",6.900000,-32.600000,-90.000000,top
"C41","100nF","C_0402_1005Metric",30.550000,-20.350000,45.000000,top
"C42","100nF","C_0402_1005Metric",30.250000,-29.150000,-45.000000,top
"C43","100nF","C_0402_1005Metric",23.350000,-32.100000,-135.000000,top
"C44","100nF","C_0402_1005Metric",19.450000,-28.950000,-135.000000,top
"C45","100nF","C_0402_1005Metric",28.800000,-18.400000,45.000000,top
"C46","100nF","C_0402_1005Metric",32.300000,-21.400000,45.000000,top
"D1","D_TVS_Dual_AAC","SOT-323_SC-70",10.875000,-41.350000,90.000000,top
"IC1","T31ZX","QFN35P900X900X90-89N-D",25.700000,-24.700000,-45.000000,top
"J1","USB Type-C","USB_C_Receptacle_HRO_TYPE-C-31-M-12",10.400000,-48.800000,0.000000,top
"J2","SD_Card","SD_Hirose_DM1AA_SF_PEJ82",61.000000,-37.187500,0.000000,top
"J3","SFW15R-2STE1LF","SFW15R2STE1LF",0.850000,-25.000000,-90.000000,top
"R0","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",37.200000,-20.225000,-90.000000,top
"R1","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",35.600000,-20.224999,-90.000000,top
"R2","0R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",53.600000,-14.800000,90.000000,top
"R3","0R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",50.000000,-14.800000,90.000000,top
"R4","5k1","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",8.620000,-41.375000,-90.000000,top
"R5","5k1","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",13.100000,-41.400000,-90.000000,top
"R6","0R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",63.800000,-14.800000,90.000000,top
"R7","0R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",60.400000,-14.800000,90.000000,top
"R8","0R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",70.600000,-14.800000,90.000000,top
"R9","0R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",74.200000,-14.800000,90.000000,top
"R10","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",37.999999,-15.487500,-90.000000,top
"R11","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",36.400000,-15.487500,-90.000000,top
"R12","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",33.600000,-37.000000,90.000000,top
"R13","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",35.300000,-37.000000,-90.000000,top
"R14","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",43.175000,-37.100000,90.000000,top
"R15","47k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",71.575000,-18.987500,0.000000,top
"R16","47k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",68.000000,-18.987500,180.000000,top
"R17","47k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",64.450000,-18.987500,0.000000,top
"R18","47k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",56.500000,-18.987500,0.000000,top
"R19","47k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",52.950000,-18.987500,180.000000,top
"R20","47k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",49.350000,-18.987500,0.000000,top
"R21","1M","R_0402_1005Metric",22.091476,-16.920228,45.000000,top
"U1","AZ1117-3.3","SOT-223-3_TabPin2",51.800000,-2.200000,90.000000,top
"U2","AZ1117-1.8","SOT-223-3_TabPin2",62.200000,-2.200000,90.000000,top
"U3","MCP1826S","SOT-223-3_TabPin2",72.400000,-2.200000,90.000000,top
"U4","W25Q32JVSS","SOIC-8_5.23x5.23mm_P1.27mm",39.200000,-36.000000,90.000000,top
"Y1","24 MHz","Crystal_SMD_2016-4Pin_2.0x1.6mm",20.758580,-15.566117,45.000000,top
